symbol,Open,High,Low,Close,Volume,ema_9,ema_10,vol_ma,rsi_daily,rsi_weekly,rsi_monthly,base_score,vol_surge,alpha_score,is_rocket,bullish_htf,signal
CB,328.0,329.7799987792969,323.80999755859375,325.45001220703125,1509800,326.4761893462443,326.32620227631963,1508760.0,49.544248219161396,58.42528178288586,63.98060278785541,58.8712034721288,1.000689307775922,58.8712034721288,False,True,False
GILD,135.25,136.32000732421875,133.67999267578125,133.72999572753906,6408900,132.21639236820445,132.20606418419175,6151335.0,51.18006344497486,52.48343497356791,69.04329724481434,58.84670557634788,1.0418713986476107,58.84670557634788,False,True,True
GD,345.0400085449219,345.2699890136719,341.32000732421875,344.6400146484375,1270000,341.68589067595144,341.59867940364876,1386120.0,54.52513966092262,51.58427892172756,67.5145767823542,58.54457021381723,0.9162265893284852,58.54457021381723,False,True,True
NET,216.25,221.11000061035156,208.2400054931641,217.5399932861328,3458300,210.59085835104588,210.37544101934247,4822625.0,54.76678925409033,55.13443039337691,63.29836619545193,58.326476486349605,0.7170990902257588,58.326476486349605,False,True,True
COP,118.75,119.88999938964844,116.18000030517578,116.56999969482422,7178800,120.16489903676921,120.19419535530795,7502900.0,42.82042175383877,58.118021845282136,65.83161908677565,58.14394072359087,0.956803369363846,58.14394072359087,False,True,False
OXY,58.400001525878906,59.099998474121094,57.459999084472656,57.459999084472656,10570000,58.288233735233185,58.243445729282854,12587330.0,48.480426370914344,58.969280773959355,61.93389611964513,58.057356031624664,0.8397332873611798,58.057356031624664,False,True,False
BAC,52.220001220703125,52.5,51.880001068115234,52.20000076293945,27397600,51.382595517771065,51.377766001747126,32516775.0,55.43374337754136,51.75879960879347,65.47949248350254,57.98206551242668,0.8425681821152313,57.98206551242668,False,True,True
GE,306.3500061035156,314.9800109863281,306.3500061035156,314.489990234375,5084200,299.39015745881017,298.81391084720764,5659395.0,61.77347392088797,51.86597568258589,62.15802277125948,57.96429416571575,0.8983645778391507,57.96429416571575,False,True,True
SNPS,529.969970703125,539.47998046875,524.1799926757812,534.5599975585938,1792100,511.9998606753248,510.9347827666242,1533155.0,71.66172728023896,59.70653812116447,48.64253733090395,57.67197563687516,1.168896817347235,57.67197563687516,False,False,False
TSLA,430.260009765625,435.2000122070313,426.1199951171875,433.5899963378906,45658900,422.2360444833552,421.5350882553522,53833825.0,60.8635268412969,55.78371125407469,56.99357144594782,57.283618448268385,0.8481451949587457,57.283618448268385,False,True,True
SBUX,103.08000183105467,103.97000122070312,100.8000030517578,101.41999816894533,9099100,104.2701841220147,104.3040280081731,8447190.0,45.320728255215016,58.87512470768315,60.87809701914058,56.9654343417725,1.077174776464126,56.9654343417725,False,True,False
UNH,386.0,386.5199890136719,376.4100036621094,376.8599853515625,6498100,384.5140969203002,384.19386095369515,6954610.0,56.85699148237875,65.56123648457287,48.29842176550832,56.91526159650824,0.9343586484360733,56.91526159650824,False,False,False
ALL,215.3000030517578,217.8699951171875,212.77999877929688,212.82000732421875,1298700,216.89881862702921,216.9290325255842,1749045.0,45.48814917241947,57.8266583765661,61.05078336507955,56.648606531142164,0.7425194892069672,56.648606531142164,False,True,False
COST,1026.1300048828125,1027.5,996.1599731445312,1002.9299926757812,2704600,1038.4724277275498,1038.133149480711,1996265.0,43.97855811366294,58.575080395281994,60.44460399675535,56.40358537954753,1.354830145296341,56.40358537954753,False,True,False
