date,symbol,marketcapname,sector
27-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
28-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
28-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
29-01-2026 10:30:00 AM,VEDL,Largecap,Metals & Mining
29-01-2026 10:30:00 AM,NATIONALUM,Largecap,Metals & Mining
30-01-2026 10:30:00 AM,SBIN,Largecap,Bank
03-02-2026 10:30:00 AM,APLAPOLLO,Largecap,Industrials
04-02-2026 10:30:00 AM,APLAPOLLO,Largecap,Industrials
05-02-2026 10:30:00 AM,APLAPOLLO,Largecap,Industrials
06-02-2026 10:30:00 AM,APLAPOLLO,Largecap,Industrials
09-02-2026 10:30:00 AM,SBIN,Largecap,Bank
09-02-2026 10:30:00 AM,ASHOKLEY,Largecap,Auto
09-02-2026 10:30:00 AM,APLAPOLLO,Largecap,Industrials
10-02-2026 10:30:00 AM,SBIN,Largecap,Bank
10-02-2026 10:30:00 AM,ASHOKLEY,Largecap,Auto
10-02-2026 10:30:00 AM,APLAPOLLO,Largecap,Industrials
11-02-2026 10:30:00 AM,SBIN,Largecap,Bank
11-02-2026 10:30:00 AM,BHARATFORG,Largecap,Industrials
11-02-2026 10:30:00 AM,APLAPOLLO,Largecap,Industrials
12-02-2026 10:30:00 AM,SBIN,Largecap,Bank
12-02-2026 10:30:00 AM,ASHOKLEY,Largecap,Auto
12-02-2026 10:30:00 AM,BHARATFORG,Largecap,Industrials
12-02-2026 10:30:00 AM,EICHERMOT,Largecap,Auto
12-02-2026 10:30:00 AM,APLAPOLLO,Largecap,Industrials
13-02-2026 10:30:00 AM,SBIN,Largecap,Bank
13-02-2026 10:30:00 AM,BHARATFORG,Largecap,Industrials
13-02-2026 10:30:00 AM,EICHERMOT,Largecap,Auto
13-02-2026 10:30:00 AM,APLAPOLLO,Largecap,Industrials
16-02-2026 10:30:00 AM,SBIN,Largecap,Bank
16-02-2026 10:30:00 AM,TORNTPHARM,Largecap,Healthcare
16-02-2026 10:30:00 AM,BHARATFORG,Largecap,Industrials
17-02-2026 10:30:00 AM,SBIN,Largecap,Bank
17-02-2026 10:30:00 AM,TORNTPHARM,Largecap,Healthcare
17-02-2026 10:30:00 AM,BHARATFORG,Largecap,Industrials
18-02-2026 10:30:00 AM,SBIN,Largecap,Bank
18-02-2026 10:30:00 AM,BHARATFORG,Largecap,Industrials
18-02-2026 10:30:00 AM,UNIONBANK,Largecap,Bank
18-02-2026 10:30:00 AM,APLAPOLLO,Largecap,Industrials
19-02-2026 10:30:00 AM,SBIN,Largecap,Bank
19-02-2026 10:30:00 AM,BHARATFORG,Largecap,Industrials
20-02-2026 10:30:00 AM,SBIN,Largecap,Bank
20-02-2026 10:30:00 AM,BHARATFORG,Largecap,Industrials
23-02-2026 10:30:00 AM,SBIN,Largecap,Bank
23-02-2026 10:30:00 AM,TORNTPHARM,Largecap,Healthcare
23-02-2026 10:30:00 AM,BHARATFORG,Largecap,Industrials
23-02-2026 10:30:00 AM,UNIONBANK,Largecap,Bank
23-02-2026 10:30:00 AM,INDIANB,Largecap,Bank
23-02-2026 10:30:00 AM,POWERINDIA,Largecap,Industrials
24-02-2026 10:30:00 AM,SBIN,Largecap,Bank
24-02-2026 10:30:00 AM,TORNTPHARM,Largecap,Healthcare
24-02-2026 10:30:00 AM,BHARATFORG,Largecap,Industrials
24-02-2026 10:30:00 AM,UNIONBANK,Largecap,Bank
24-02-2026 10:30:00 AM,INDIANB,Largecap,Bank
24-02-2026 10:30:00 AM,POWERINDIA,Largecap,Industrials
25-02-2026 10:30:00 AM,TORNTPHARM,Largecap,Healthcare
25-02-2026 10:30:00 AM,BHARATFORG,Largecap,Industrials
25-02-2026 10:30:00 AM,UNIONBANK,Largecap,Bank
25-02-2026 10:30:00 AM,POWERINDIA,Largecap,Industrials
26-02-2026 10:30:00 AM,TORNTPHARM,Largecap,Healthcare
26-02-2026 10:30:00 AM,BHARATFORG,Largecap,Industrials
26-02-2026 10:30:00 AM,UNIONBANK,Largecap,Bank
26-02-2026 10:30:00 AM,INDIANB,Largecap,Bank
26-02-2026 10:30:00 AM,POWERINDIA,Largecap,Industrials
27-02-2026 10:30:00 AM,BHARATFORG,Largecap,Industrials
27-02-2026 10:30:00 AM,UNIONBANK,Largecap,Bank
27-02-2026 10:30:00 AM,INDIANB,Largecap,Bank
27-02-2026 10:30:00 AM,POWERINDIA,Largecap,Industrials
08-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
09-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
10-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
10-04-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
